Timestamp,ActionType,ActionDetail,TurnPhase,IsMyTurn,PlayerID,PlayerHP,PlayerCP,OpponentHP,OpponentCP,PlayerPosTokens,PlayerNegTokens,OppPosTokens,OppNegTokens,BoardDice,RollsLeft,HandSize,OpponentHandSize,CardsInHand
21-06-2026 14:08:45,PassPriority,None,OffensiveRollPhase,1,2,41,4,48,0,2,1,0,0,6|6|6|6|6,0,4,6,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:08:58,PassPriority,None,DefensiveRollPhase,0,1,48,0,41,4,0,0,6,1,0|0|0|0|0,1,6,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Double Up!|Ambush!
21-06-2026 14:09:19,PassPriority,None,DefensiveRollPhase,1,2,41,4,48,0,6,1,0,0,0|0|0|0|0,1,4,6,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:09:33,PassPriority,None,MainPhase2,1,2,41,4,35,0,6,1,0,0,0|0|0|0|0,0,4,6,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:09:34,PassPriority,None,MainPhase2,0,1,35,0,41,4,0,0,6,1,0|0|0|0|0,0,6,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Double Up!|Ambush!
21-06-2026 14:09:44,PlayCard,Getting Paid!,MainPhase1,1,1,35,1,41,4,0,0,6,1,0|0|0|0|0,0,7,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Double Up!|Ambush!|Getting Paid!
21-06-2026 14:09:46,PlayCard,Double Up!,MainPhase1,1,1,35,3,41,4,0,0,6,1,0|0|0|0|0,0,6,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Double Up!|Ambush!
21-06-2026 14:10:09,PlayCard,Buh; Bye!,MainPhase1,1,1,35,2,41,4,0,0,6,1,0|0|0|0|0,0,7,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Ambush!|Buh; Bye!|Better D!
21-06-2026 14:10:17,SellCard,Ambush!,MainPhase1,1,1,35,0,41,4,0,0,5,1,0|0|0|0|0,0,6,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Ambush!|Better D!
21-06-2026 14:10:25,PassPriority,None,MainPhase1,1,1,35,1,41,4,0,0,5,1,0|0|0|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:10:26,PassPriority,None,MainPhase1,0,2,41,4,35,1,5,1,0,0,0|0|0|0|0,0,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:10:27,InitialPhaseRoll,RollsLeft:3,OffensiveRollPhase,1,1,35,1,41,4,0,0,5,1,0|0|0|0|0,3,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
